temps;APEG;TV;TPC;MDR;EFN;TRH1
temps;Angle Pivot;Gyromètre;Consigne tangage PC;Commande Moteur Droit;Effort milli N;trs/min Droit
0000.000;-481;2;-1024;3685;98;0
0000.026;-501;0;-51;3685;98;0
0000.057;-481;0;-51;4779;98;0
0000.078;-501;0;-51;4779;98;0
0000.096;-461;2;-51;4779;98;0
0000.109;-481;4;-51;4779;98;0
0000.139;-481;0;-51;4779;108;0
0000.157;-501;0;-51;4779;98;0
0000.170;-501;0;-51;4779;98;0
0000.187;-501;0;-51;4779;98;0
0000.200;-501;0;-51;4779;98;0
0000.217;-481;4;-51;4779;108;0
0000.248;-501;0;-51;4779;98;1280
0000.265;-481;0;-51;4779;98;1280
0000.278;-481;4;-51;4779;98;3538
0000.296;-501;-2;-51;4779;108;1106
0000.309;-501;-2;-51;4779;108;1106
0000.326;-501;0;-51;4779;108;1485
0000.357;-481;0;-51;4779;108;2448
0000.374;-481;0;-51;4779;118;2676
0000.387;-481;0;-51;4779;118;2841
0000.405;-501;0;-51;4779;118;3110
0000.418;-501;-6;-51;4779;128;3288
0000.435;-461;0;-51;4779;128;3487
0000.466;-481;0;-51;4779;147;3712
0000.483;-501;0;-51;4779;157;3901
0000.496;-481;-2;-51;4779;157;3968
0000.514;-501;4;-51;4779;167;4038
0000.527;-481;2;-51;4779;167;4184
0000.544;-501;-2;-51;4779;167;4184
0000.561;-481;2;-51;4779;167;4343
0000.574;-501;-2;-51;4779;177;4343
0000.592;-521;-2;-51;4779;177;4426
0000.605;-481;-2;-51;4779;177;4512
0000.622;-501;-2;-51;4779;177;4513
0000.635;-501;-2;-51;4779;186;4603
0000.653;-481;-2;-51;4779;186;4603
0000.670;-501;-2;-51;4779;186;4603
0000.683;-541;-4;-51;4779;196;4603
0000.701;-521;-2;-51;4779;196;4697
0000.714;-501;-2;-51;4779;196;4697
0000.731;-541;0;-51;4779;226;4697
0000.748;-521;4;-51;4779;226;4795
0000.761;-521;4;-51;4779;216;4795
0000.779;-541;-2;-51;4779;216;4795
0000.792;-521;-2;-51;4779;226;4795
0000.809;-521;0;-51;4779;226;4795
0000.822;-541;0;-51;4779;226;4795
0000.840;-521;0;-51;4779;235;4897
0000.857;-521;0;-51;4779;245;4795
0000.870;-521;0;-51;4779;255;4897
0000.888;-541;-2;-51;4779;255;4795
0000.901;-521;0;-51;4779;255;4897
0000.918;-521;-2;-51;4779;265;4795
0000.949;-521;0;-51;4779;275;4897
0000.966;-501;0;-51;4779;284;4897
0000.979;-521;2;-51;4779;304;4795
0000.997;-521;4;-51;4779;304;4897
0001.010;-521;4;-51;4779;304;4897
0001.027;-521;4;-51;4779;304;4897
0001.058;-541;0;-51;4779;304;4897
0001.075;-521;2;-51;4779;304;4897
0001.088;-501;4;-51;4779;304;4897
0001.106;-521;0;-51;4779;304;4897
0001.123;-501;0;-51;4779;304;4794
0001.136;-501;4;-51;4779;294;4897
0001.166;-521;4;-51;4779;304;4897
0001.184;-521;2;-51;4779;314;4897
0001.197;-521;4;-51;4779;314;4897
0001.214;-521;2;-51;4779;314;4795
0001.227;-521;2;-51;4779;314;4897
0001.245;-521;4;-51;4779;314;4897
0001.275;-541;0;-51;4779;334;4897
0001.293;-521;0;-51;4779;324;4896
0001.306;-501;2;-51;4779;314;4795
0001.323;-521;0;-51;4779;314;4794
0001.336;-521;6;-51;4779;314;4896
0001.354;-521;0;-51;4779;324;4897
0001.371;-521;4;-51;4779;314;4897
0001.384;-541;0;-51;4779;324;4794
0001.401;-521;2;-51;4779;314;4795
0001.415;-541;0;-51;4779;314;4896
0001.432;-521;0;-51;4779;304;4897
0001.449;-541;2;-51;4779;314;4897
0001.462;-521;2;-51;4779;324;4896
0001.480;-521;0;-51;4779;314;4897
0001.497;-521;-2;-51;4779;324;4897
0001.510;-521;4;-51;4779;324;4896
0001.528;-521;4;-51;4779;314;4896
0001.541;-521;-2;-51;4779;314;4794
0001.558;-521;0;-51;4779;314;4896
0001.571;-501;2;-51;4779;304;4794
0001.589;-541;0;-51;4779;324;4896
0001.602;-521;4;-51;4779;314;4794
0001.619;-541;2;-51;4779;314;4896
0001.632;-521;4;-51;4779;324;4794
0001.650;-521;4;-51;4779;314;4897
0001.667;-521;2;-51;4779;314;4897
0001.684;-541;-2;-51;4779;314;4896
0001.698;-521;-2;-51;4779;314;4897
0001.715;-521;4;-51;4779;314;4794
0001.728;-521;2;-51;4779;314;4896
0001.758;-521;4;-51;4779;314;4896
0001.776;-521;2;-51;4779;314;4795
0001.789;-521;4;-51;4779;304;4897
0001.806;-521;0;-51;4779;314;4896
0001.824;-501;4;-51;4779;314;4896
0001.837;-521;2;-51;4779;324;4897
0001.854;-521;2;-51;4779;334;4896
0001.867;-521;4;-51;4779;324;4896
0001.885;-521;4;-51;4779;324;4897
0001.902;-541;0;-51;4779;334;4896
0001.915;-541;0;-51;4779;324;4896
0001.932;-501;6;-51;4779;324;4896
0001.945;-521;0;-51;4779;334;4896
0001.963;-521;0;-51;4779;324;4896
0001.976;-521;6;-51;4779;334;4896
0001.993;-521;6;-51;4779;334;4896
0002.006;-521;0;-51;4779;334;4896
0002.024;-521;0;-51;4779;334;4896
0002.037;-521;4;-51;4779;334;4896
0002.054;-541;0;-51;4779;334;4896
0002.085;-521;4;-51;4779;334;4897
0002.102;-521;4;-51;4779;334;4896
0002.119;-521;0;-51;4779;314;4896
0002.133;-541;-2;51;4779;324;4896
0002.150;-521;2;51;4416;324;4794
0002.163;-541;0;51;4416;314;4697
0002.180;-541;0;51;4416;314;4603
0002.194;-521;2;51;4416;304;4512
0002.211;-521;2;51;4416;294;4425
0002.228;-521;0;51;4416;294;4342
0002.241;-521;2;51;4416;294;4184
0002.259;-501;2;51;4416;304;4037
0002.272;-501;4;51;4416;294;4037
0002.289;-521;0;51;4416;294;3900
0002.307;-521;0;51;4416;294;3772
0002.320;-541;0;51;4416;294;3773
0002.337;-541;0;51;4416;294;3653
0002.350;-521;2;51;4416;294;3653
0002.368;-541;0;51;4416;294;3540
0002.381;-501;6;51;4416;294;3486
0002.398;-521;2;51;4416;294;3384
0002.411;-521;6;51;4416;294;3384
0002.429;-501;6;51;4416;294;3335
0002.446;-521;6;51;4416;294;3241
0002.459;-501;8;51;4416;294;3241
0002.476;-481;10;51;4416;294;3152
0002.494;-501;6;51;4416;294;3110
0002.507;-521;4;51;4416;294;3110
0002.520;-501;4;51;4416;294;3028
0002.537;-501;6;51;4416;294;3028
0002.555;-521;0;51;4416;294;2950
0002.568;-481;4;51;4416;294;2950
0002.585;-481;4;51;4416;294;2913
0002.598;-461;6;51;4416;294;2876
0002.616;-481;4;51;4416;294;2841
0002.629;-481;6;51;4416;294;2841
0002.646;-481;6;51;4416;284;2806
0002.663;-501;0;51;4416;284;2772
0002.677;-501;2;51;4416;284;2739
0002.694;-521;0;51;4416;284;2707
0002.711;-481;4;51;4416;284;2676
0002.724;-481;4;51;4416;275;2676
0002.742;-481;4;51;4416;275;2645
0002.755;-481;-2;51;4416;275;2645
0002.772;-481;2;51;4416;275;2615
0002.786;-501;-2;51;4416;275;2585
0002.803;-481;2;51;4416;275;2557
0002.816;-481;4;51;4416;275;2585
0002.833;-481;0;51;4416;265;2557
0002.846;-481;2;51;4416;265;2557
0002.864;-461;6;51;4416;265;2529
0002.881;-501;0;51;4416;255;2501
0002.894;-501;0;51;4416;255;2529
0002.912;-501;0;51;4416;255;2474
0002.929;-481;4;51;4416;255;2501
0002.942;-481;2;51;4416;245;2474
0002.959;-481;0;51;4416;245;2474
0002.973;-461;4;51;4416;245;2448
0002.990;-501;0;51;4416;245;2448
0003.003;-501;0;51;4416;245;2422
0003.020;-481;4;51;4416;245;2422
0003.038;-481;2;51;4416;245;2422
0003.051;-481;2;51;4416;245;2397
0003.068;-481;0;51;4416;245;2397
0003.086;-481;2;51;4416;245;2397
0003.099;-501;0;51;4416;245;2397
0003.112;-481;2;51;4416;245;2372
0003.129;-481;4;51;4416;245;2372
0003.147;-481;2;51;4416;245;2372
0003.160;-481;2;51;4416;245;2372
0003.177;-481;2;51;4416;245;2348
0003.194;-501;0;51;4416;235;2372
0003.207;-501;0;51;4416;235;2348
0003.221;-501;0;51;4416;235;2324
0003.238;-481;0;51;4416;235;2348
0003.255;-481;0;51;4416;235;2348
0003.268;-501;0;51;4416;235;2324
0003.286;-501;0;51;4416;235;2324
0003.299;-461;4;51;4416;235;2324
0003.316;-501;0;51;4416;235;2324
0003.334;-481;2;51;4416;235;2301
0003.347;-481;6;51;4416;235;2324
0003.364;-481;2;51;4416;235;2301
0003.382;-481;0;51;4416;235;2324
0003.395;-481;2;51;4416;235;2301
0003.408;-441;2;51;4416;235;2301
0003.425;-481;0;51;4416;235;2301
0003.443;-481;0;51;4416;235;2301
0003.456;-461;4;51;4416;235;2301
0003.473;-481;0;51;4416;235;2301
0003.486;-481;0;51;4416;235;2301
0003.504;-501;0;51;4416;235;2278
0003.517;-481;4;51;4416;235;2301
0003.534;-501;0;51;4416;235;2301
0003.551;-481;2;51;4416;235;2278
0003.564;-521;0;51;4416;235;2301
0003.582;-501;0;51;4416;235;2278
0003.595;-501;0;51;4416;235;2301
0003.612;-481;0;51;4416;235;2301
0003.630;-501;0;51;4416;235;2278
0003.643;-501;-2;51;4416;235;2278
0003.660;-501;0;51;4416;235;2301
0003.673;-461;2;51;4416;235;2278
0003.691;-481;4;51;4416;235;2278
0003.704;-501;0;51;4416;235;2278
0003.721;-501;0;51;4416;245;2278
0003.738;-481;2;51;4416;235;2278
0003.751;-481;2;51;4416;235;2278
0003.769;-501;0;51;4416;235;2278
0003.782;-481;0;51;4416;235;2278
0003.799;-481;0;51;4416;235;2278
0003.812;-481;2;51;4416;235;2278
0003.830;-501;0;51;4416;235;2278
0003.847;-481;4;51;4416;235;2278
0003.860;-501;0;51;4416;235;2256
0003.878;-481;2;51;4416;235;2278
0003.895;-501;0;51;4416;235;2278
0003.908;-501;0;51;4416;235;2278
0003.921;-481;2;51;4416;235;2278
0003.939;-481;4;51;4416;235;2278
0003.956;-481;2;51;4416;235;2278
0003.969;-481;0;51;4416;235;2278
0003.987;-481;0;51;4416;235;2278
0004.004;-481;2;51;4416;235;2278
0004.017;-481;2;51;4416;235;2278
0004.030;-501;0;51;4416;235;2278
0004.048;-481;0;51;4416;235;2278
0004.065;-501;0;51;4416;235;2301
0004.078;-501;0;51;4416;235;2278
0004.095;-481;0;51;4416;235;2278
0004.108;-461;4;51;4416;235;2278
0004.126;-501;0;51;4416;235;2278
0004.143;-481;0;51;4416;235;2278
0004.156;-481;0;51;4416;235;2278
0004.174;-481;0;51;4416;235;2278
0004.187;-481;0;51;4416;235;2278
0004.204;-481;2;51;4416;235;2278
0004.222;-501;0;51;4416;235;2278
0004.235;-481;2;51;4416;235;2278
0004.248;-501;-2;51;4416;235;2278
0004.265;-501;0;51;4416;245;2278
0004.283;-501;0;51;4416;235;2278
0004.296;-501;0;51;4416;235;2278
0004.313;-481;0;51;4416;235;2278
0004.330;-501;0;51;4416;235;2278
0004.343;-481;0;51;4416;235;2278
0004.361;-501;-2;51;4416;235;2278
0004.374;-501;0;51;4416;235;2278
0004.391;-501;0;51;4416;235;2256
0004.404;-481;2;51;4416;245;2278
0004.422;-481;2;51;4416;235;2278
0004.439;-501;0;51;4416;235;2256
0004.452;-481;2;51;4416;235;2278
0004.470;-501;0;51;4416;235;2278
0004.483;-481;0;51;4416;235;2278
0004.500;-481;0;51;4416;235;2256
0004.513;-481;2;51;4416;235;2278
0004.531;-481;4;51;4416;235;2278
0004.548;-501;0;51;4416;235;2256
0004.561;-481;2;51;4416;235;2278
0004.578;-481;0;51;4416;235;2256
0004.592;-501;0;51;4416;235;2278
0004.609;-481;0;51;4416;235;2256
0004.622;-481;0;51;4416;235;2256
0004.639;-481;4;51;4416;235;2278
0004.657;-481;2;51;4416;235;2256
0004.670;-481;0;51;4416;235;2256
0004.687;-501;0;51;4416;235;2256
0004.705;-501;0;51;4416;245;2278
0004.718;-501;0;51;4416;235;2256
0004.735;-481;2;51;4416;235;2256
0004.748;-501;0;51;4416;235;2256
0004.766;-461;2;51;4416;235;2256
0004.779;-481;2;51;4416;235;2278
0004.796;-481;2;51;4416;235;2256
0004.809;-501;0;51;4416;235;2256
0004.826;-501;0;51;4416;235;2256
0004.840;-481;0;51;4416;235;2256
0004.857;-481;2;51;4416;235;2256
0004.874;-481;0;51;4416;235;2256
0004.887;-501;0;51;4416;235;2256
0004.905;-481;2;51;4416;235;2256
0004.922;-501;0;51;4416;235;2256
0004.935;-501;0;51;4416;235;2256
0004.953;-481;2;51;4416;235;2256
0004.966;-481;0;51;4416;245;2256
0004.983;-481;2;51;4416;235;2256
0004.996;-501;0;51;4416;235;2256
0005.014;-481;0;51;4416;235;2256
0005.027;-481;4;51;4416;235;2234
0005.044;-501;0;51;4416;235;2278
0005.061;-481;4;51;4416;235;2234
0005.075;-481;4;51;4416;235;2256
0005.092;-481;2;51;4416;235;2256
0005.105;-481;4;51;4416;235;2256
0005.122;-481;0;-51;4416;235;2256
0005.140;-481;2;-51;4779;235;2256
0005.153;-501;-2;-51;4779;235;2585
0005.170;-481;4;-51;4779;245;2772
0005.183;-501;0;-51;4779;235;3027
0005.201;-481;-2;-51;4779;235;3152
0005.218;-481;-4;-51;4779;235;3384
0005.231;-481;0;-51;4779;235;3540
0005.249;-481;0;-51;4779;245;3652
0005.262;-481;-2;-51;4779;245;3835
0005.279;-461;4;-51;4779;245;3900
0005.297;-481;-4;-51;4779;235;3967
0005.310;-481;-6;-51;4779;245;4109
0005.323;-501;-6;-51;4779;235;4109
0005.340;-501;-2;-51;4779;235;4184
0005.357;-521;-2;-51;4779;235;4342
0005.371;-501;-4;-51;4779;235;4341
0005.388;-501;-2;-51;4779;245;4425
0005.401;-501;-2;-51;4779;235;4425
0005.418;-541;-4;-51;4779;245;4512
0005.431;-541;-4;-51;4779;245;4602
0005.449;-521;-4;-51;4779;255;4602
0005.466;-541;-2;-51;4779;255;4696
0005.479;-521;2;-51;4779;265;4602
0005.497;-521;4;-51;4779;275;4602
0005.514;-521;4;-51;4779;275;4696
0005.527;-521;4;-51;4779;275;4794
0005.545;-541;-2;-51;4779;284;4696
0005.558;-541;0;-51;4779;284;4794
0005.575;-521;0;-51;4779;294;4696
0005.588;-521;4;-51;4779;284;4794
0005.606;-521;4;-51;4779;304;4794
0005.623;-521;4;-51;4779;284;4794
0005.636;-521;2;-51;4779;284;4794
0005.653;-541;0;-51;4779;284;4794
0005.666;-521;0;-51;4779;284;4794
0005.684;-541;2;-51;4779;294;4896
0005.697;-521;-2;-51;4779;284;4794
0005.714;-521;4;-51;4779;294;4794
0005.732;-521;0;-51;4779;284;4794
0005.745;-521;0;-51;4779;304;4794
0005.762;-521;-2;-51;4779;304;4794
0005.775;-541;-2;-51;4779;304;4896
0005.793;-521;0;-51;4779;294;4794
0005.806;-541;-2;-51;4779;304;4896
0005.823;-521;0;-51;4779;314;4794
0005.841;-521;2;-51;4779;304;4794
0005.854;-521;0;-51;4779;304;4794
0005.871;-521;0;-51;4779;304;4794
0005.884;-521;4;-51;4779;304;4794
0005.902;-521;4;-51;4779;294;4794
0005.919;-521;0;-51;4779;304;4896
0005.932;-521;0;-51;4779;294;4896
0005.949;-521;4;-51;4779;304;4895
0005.962;-521;4;-51;4779;304;4895
0005.980;-541;2;-51;4779;294;4794
0005.993;-521;0;-51;4779;294;4896
0006.010;-521;2;-51;4779;304;4794
0006.023;-541;-2;-51;4779;314;4794
0006.041;-521;2;-51;4779;314;4794
0006.058;-521;4;-51;4779;314;4896
0006.071;-541;4;-51;4779;314;4895
0006.089;-561;-4;-51;4779;304;4794
0006.106;-521;-2;-51;4779;304;4896
0006.119;-521;0;-51;4779;314;4895
0006.136;-521;0;-51;4779;314;4794
0006.149;-521;0;-51;4779;314;4896
0006.167;-541;0;-51;4779;304;4896
0006.184;-521;2;-51;4779;304;4896
0006.197;-541;-2;-51;4779;314;4794
0006.210;-541;-2;-51;4779;324;4896
0006.228;-541;0;-51;4779;324;4896
0006.241;-521;0;-51;4779;314;4896
0006.258;-521;4;-51;4779;314;4794
0006.276;-541;4;-51;4779;304;4895
0006.289;-521;4;-51;4779;314;4895
0006.306;-541;0;-51;4779;304;4895
0006.324;-521;0;-51;4779;304;4895
0006.337;-521;-2;-51;4779;294;4896
0006.354;-521;0;-51;4779;304;4895
0006.367;-521;2;-51;4779;294;4895
0006.385;-521;2;-51;4779;294;4896
0006.398;-521;0;-51;4779;294;4896
0006.415;-541;-2;-51;4779;304;4896
0006.433;-521;2;-51;4779;304;5002
0006.446;-541;0;-51;4779;304;4895
0006.463;-521;2;-51;4779;304;4896
0006.476;-521;0;-51;4779;294;4895
0006.493;-521;2;-51;4779;304;4896
0006.506;-521;2;-51;4779;314;5002
0006.524;-521;0;-51;4779;304;4896
0006.541;-521;0;-51;4779;304;4896
0006.554;-541;-2;-51;4779;314;4896
0006.572;-541;-2;-51;4779;324;4896
0006.585;-541;0;-51;4779;314;4896
0006.602;-521;4;-51;4779;314;4896
0006.615;-521;4;-51;4779;324;4896
0006.633;-541;4;-51;4779;324;4896
0006.650;-541;0;-51;4779;334;4896
0006.667;-521;4;-51;4779;343;4896
0006.680;-521;6;-51;4779;334;4793
0006.698;-521;6;-51;4779;343;4794
0006.711;-521;0;-51;4779;343;4895
0006.728;-521;0;-51;4779;334;4895
0006.741;-541;0;-51;4779;334;4895
0006.759;-521;6;-51;4779;334;4895
0006.772;-541;-2;-51;4779;334;4895
0006.789;-521;0;-51;4779;334;4896
0006.802;-521;0;-51;4779;324;4896
0006.820;-521;-2;-51;4779;324;4896
0006.833;-521;-2;-51;4779;324;4895
0006.850;-521;-2;-51;4779;334;4895
0006.868;-541;2;-51;4779;324;4895
0006.881;-541;6;-51;4779;324;4895
0006.898;-541;0;-51;4779;324;4896
0006.911;-541;2;-51;4779;314;4896
0006.929;-521;6;-51;4779;314;4896
0006.946;-521;6;-51;4779;324;4895
0006.959;-541;4;-51;4779;324;4895
0006.977;-521;4;-51;4779;314;4895
0006.990;-541;0;-51;4779;314;4895
0007.007;-541;4;-51;4779;304;4895
0007.025;-521;6;-51;4779;304;4794
0007.038;-541;2;-51;4779;304;4896
0007.055;-521;6;-51;4779;304;4895
